0,اقرأ,أ,ر,4
1,نبدأ,أ,د,4
2,بَتَأ,أ,ت,3
3,بَدَأ,أ,د,3
4,بَذَأ,أ,ذ,3
5,بَرَأ,أ,ر,3
6,بَسَأ,أ,س,3
7,بَكَأ,أ,ك,3
8,ثَمَأ,أ,م,3
9,جَبَأ,أ,ب,3
10,جَزَأ,أ,ز,3
11,جَسَأ,أ,س,3
12,جَشَأ,أ,ش,3
13,جَفَأ,أ,ف,3
14,خَبَأ,أ,ب,3
15,خَتَأ,أ,ت,3
16,خَجَأ,أ,ج,3
17,خَذَأ,أ,ذ,3
18,خَسَأ,أ,س,3
19,خَلَأ,أ,ل,3
20,دَرَأ,أ,ر,3
21,دَبَأ,أ,ب,3
22,رَزَأ,أ,ز,3
23,رَقَأ,أ,ق,3
24,ذَرَأ,أ,ر,3
25,رَبَأ,أ,ب,3
26,رَتَأ,أ,ت,3
27,رَثَأ,أ,ث,3
28,رَدَأ,أ,د,3
29,رَشَأ,أ,ش,3
30,رَطَأ,أ,ط,3
31,رَفَأ,أ,ف,3
32,رَمَأ,أ,م,3
33,زَكَأ,أ,ك,3
34,سَبَأ,أ,ب,3
35,سَرَأ,أ,ر,3
36,سَلأ,أ,ل,3
37,شَطَأ,أ,ط,3
38,شَقَأ,أ,ق,3
39,صَبَأ,أ,ب,3
40,ضَبَأ,أ,ب,3
41,طَرَأ,أ,ر,3
42,عَبَأ,أ,ب,3
43,فَثَأ,أ,ث,3
44,فَجَأ,أ,ج,3
45,فَسَأ,أ,س,3
46,فَطَأ,أ,ط,3
47,فَقَأ,أ,ق,3
48,قَرَأ,أ,ر,3
49,قَمَأ,أ,م,3
50,كَثَأ,أ,ث,3
51,كَدَأ,أ,د,3
52,كَشَأ,أ,ش,3
53,كَفَأ,أ,ف,3
54,كَلأ,أ,ل,3
55,كَمَأ,أ,م,3
56,لَبَأ,أ,ب,3
57,لَتَأ,أ,ت,3
58,لَجَأ,أ,ج,3
59,لَطَأ,أ,ط,3
60,لَفَأ,أ,ف,3
61,لَكَأ,أ,ك,3
62,لَمَأ,أ,م,3
63,مَسَأ,أ,س,3
64,مَلَأ,أ,ل,3
65,نَبَأ,أ,ب,3
66,نَتَأ,أ,ت,3
67,نَدَأ,أ,د,3
68,نَزَأ,أ,ز,3
69,نَسَأ,أ,س,3
70,نَشَأ,أ,ش,3
71,هَدَأ,أ,د,3
72,نَكَأ,أ,ك,3
73,نَهَأ,أ,ه,3
74,هَتَأ,أ,ت,3
75,هَجَأ,أ,ج,3
76,هَذَأ,أ,ذ,3
77,هَزَأ,أ,ز,3
78,هَمَأ,أ,م,3
79,وَبَأ,أ,ب,3
80,وَثَأ,أ,ث,3
81,وَجَأ,أ,ج,3
82,وَزَأ,أ,ز,3
83,وَدَأ,أ,د,3
84,وَذَأ,أ,ذ,3
85,وَضَأ,أ,ض,3
86,وَمَأ,أ,م,3
87,يبأ,أ,ب,3
88,يتنبأ,أ,ب,5
89,يخبأ,أ,ب,4
90,يختبأ,أ,ب,5
91,يربأ,أ,ب,4
92,يستنبأ,أ,ب,6
93,يصبأ,أ,ب,4
94,يعبأ,أ,ب,4
95,ينبأ,أ,ب,4
96,يتأتأ,أ,ت,5
97,يرتأ,أ,ت,4
98,يستأ,أ,ت,4
99,يفتأ,أ,ت,4
100,ينتأ,أ,ت,4
101,يفثأ,أ,ث,4
102,يتفاجأ,أ,ج,6
103,يجأ,أ,ج,3
104,يرجأ,أ,ج,4
105,يفاجأ,أ,ج,5
106,يفجأ,أ,ج,4
107,يلتجأ,أ,ج,5
108,يلجأ,أ,ج,4
109,يهجأ,أ,ج,4
110,يبتدأ,أ,د,5
111,يبدأ,أ,د,4
112,يردأ,أ,د,4
113,يصدأ,أ,د,4
114,يهدأ,أ,د,4
115,يبذأ,أ,ذ,4
116,يبرأ,أ,ر,4
117,يتبرأ,أ,ر,5
118,يتجرأ,أ,ر,5
119,يتمرأ,أ,ر,5
120,يتهرأ,أ,ر,5
121,يجترأ,أ,ر,5
122,يجرأ,أ,ر,4
123,يخرأ,أ,ر,4
124,يدرأ,أ,ر,4
125,يذرأ,أ,ر,4
126,يستبرأ,أ,ر,6
127,يستقرأ,أ,ر,6
128,يستمرأ,أ,ر,6
129,يطرأ,أ,ر,4
130,يقرأ,أ,ر,4
131,يمرأ,أ,ر,4
132,ينقرأ,أ,ر,5
133,يهترأ,أ,ر,5
134,يهرأ,أ,ر,4
135,يتجزأ,أ,ز,5
136,يجتزأ,أ,ز,5
137,يجزأ,أ,ز,4
138,يرزأ,أ,ز,4
139,يستهزأ,أ,ز,6
140,يهزأ,أ,ز,4
141,يبسأ,أ,س,4
142,يخسأ,أ,س,4
143,يسأ,أ,س,3
144,ينسأ,أ,س,4
145,يتجشأ,أ,ش,5
146,يتنشأ,أ,ش,5
147,يجشأ,أ,ش,4
148,يشأ,أ,ش,3
149,ينشأ,أ,ش,4
150,يتوضأ,أ,ض,5
151,يستضأ,أ,ض,5
152,يضأ,أ,ض,3
153,يبطأ,أ,ط,4
154,يتباطأ,أ,ط,6
155,يتخطأ,أ,ط,5
156,يتطأطأ,أ,ط,6
157,يتواطأ,أ,ط,6
158,يحطأ,أ,ط,4
159,يخطأ,أ,ط,4
160,يستبطأ,أ,ط,6
161,يطأ,أ,ط,3
162,يطأطأ,أ,ط,5
163,يواطأ,أ,ط,5
164,يوطأ,أ,ط,4
165,يتدفأ,أ,ف,5
166,يجفأ,أ,ف,4
167,يدفأ,أ,ف,4
168,يرفأ,أ,ف,4
169,يستدفأ,أ,ف,6
170,يطفأ,أ,ف,4
171,يفأ,أ,ف,3
172,يكافأ,أ,ف,5
173,يكفأ,أ,ف,4
174,ينطفأ,أ,ف,5
175,ينكفأ,أ,ف,5
176,يرقأ,أ,ق,4
177,يفقأ,أ,ق,4
178,يقأ,أ,ق,3
179,ينفقأ,أ,ق,5
180,يتكأ,أ,ك,4
181,يتلكأ,أ,ك,5
182,يتوكأ,أ,ك,5
183,يلكأ,أ,ك,4
184,ينكأ,أ,ك,4
185,يتلألأ,أ,ل,6
186,يتملأ,أ,ل,5
187,يجلأ,أ,ل,4
188,يسلأ,أ,ل,4
189,يكلأ,أ,ل,4
190,يلألأ,أ,ل,5
191,يمتلأ,أ,ل,5
192,يملأ,أ,ل,4
193,يتكمأ,أ,م,5
194,يحمأ,أ,م,4
195,يظمأ,أ,م,4
196,يكمأ,أ,م,4
197,يمأ,أ,م,3
198,يهمأ,أ,م,4
199,يومأ,أ,م,4
200,يحنأ,أ,ن,4
201,يدنأ,أ,ن,4
202,يزنأ,أ,ن,4
203,يشنأ,أ,ن,4
204,ينأ,أ,ن,3
205,يهنأ,أ,ن,4
206,يبوأ,أ,و,4
207,يتبوأ,أ,و,5
208,يتضوأ,أ,و,5
209,يروأ,أ,و,4
210,يسوأ,أ,و,4
211,يناوأ,أ,و,5
212,ينوأ,أ,و,4
213,يتفيأ,أ,ي,5
214,يتقيأ,أ,ي,5
215,يتهيأ,أ,ي,5
216,يشيأ,أ,ي,4
217,يفيأ,أ,ي,4
218,يقيأ,أ,ي,4
219,يهيأ,أ,ي,4
220,البأ,أ,ب,4
221,اللبأ,أ,ب,5
222,المخبأ,أ,ب,6
223,المعبأ,أ,ب,6
224,النبأ,أ,ب,5
225,الوبأ,أ,ب,5
226,التجأ,أ,ج,5
227,الجأ,أ,ج,4
228,اللجأ,أ,ج,5
229,المرجأ,أ,ج,6
230,الملتجأ,أ,ج,7
231,الملجأ,أ,ج,6
232,الأردأ,أ,د,6
233,الأهدأ,أ,د,6
234,الحدأ,أ,د,5
235,الصدأ,أ,د,5
236,المبتدأ,أ,د,7
237,المبدأ,أ,د,6
238,المصدأ,أ,د,6
239,المهدأ,أ,د,6
240,الهدأ,أ,د,5
241,الأجرأ,أ,ر,6
242,الفرأ,أ,ر,5
243,المبرأ,أ,ر,6
244,المقرأ,أ,ر,6
245,المتجزأ,أ,ز,7
246,المجزأ,أ,ز,6
247,الرشأ,أ,ش,5
248,المنشأ,أ,ش,6
249,النشأ,أ,ش,5
250,المتوضأ,أ,ض,7
251,الأوطأ,أ,ط,6
252,الخطأ,أ,ط,5
253,الموطأ,أ,ط,6
